iter	Passed	Remaining
558	11562	9121
559	11580	9099
560	11599	9077
561	11616	9053
562	11632	9029
563	11650	9006
564	11668	8983
565	11692	8965
566	11713	8945
567	11732	8923
568	11751	8901
569	11770	8879
570	11788	8857
571	11807	8835
572	11826	8812
573	11848	8793
574	11869	8772
575	11887	8750
576	11913	8733
577	11940	8717
578	11965	8700
579	11990	8682
580	12015	8665
581	12037	8645
582	12054	8622
583	12073	8600
584	12091	8577
585	12109	8555
586	12133	8536
587	12150	8513
588	12169	8491
589	12188	8470
590	12208	8448
591	12227	8427
592	12247	8406
593	12266	8384
594	12283	8360
595	12300	8337
596	12320	8317
597	12344	8298
598	12373	8283
599	12396	8264
600	12423	8248
601	12448	8229
602	12476	8214
603	12508	8200
604	12535	8184
605	12560	8166
606	12588	8150
607	12610	8130
608	12629	8108
609	12647	8086
610	12666	8064
611	12698	8050
612	12725	8033
613	12754	8018
614	12776	7998
615	12804	7981
616	12828	7963
617	12856	7947
618	12884	7930
619	12910	7912
620	12933	7893
621	12956	7873
622	12982	7856
623	13006	7837
624	13034	7820
625	13056	7800
626	13077	7779
627	13097	7758
628	13114	7735
629	13132	7712
630	13151	7690
631	13171	7669
632	13190	7647
633	13213	7628
634	13234	7607
635	13256	7586
636	13273	7564
637	13294	7543
638	13313	7521
639	13331	7499
640	13348	7475
641	13368	7454
642	13389	7433
643	13413	7414
644	13434	7394
645	13453	7372
646	13472	7350
647	13494	7330
648	13513	7308
649	13530	7285
650	13549	7263
651	13568	7242
652	13587	7220
653	13606	7198
654	13629	7179
655	13652	7159
656	13671	7137
657	13689	7115
658	13710	7094
659	13727	7071
660	13747	7050
661	13766	7028
662	13785	7007
663	13802	6984
664	13824	6964
665	13843	6942
666	13866	6922
667	13888	6902
668	13907	6880
669	13925	6858
670	13944	6837
671	13962	6815
672	13983	6794
673	14005	6774
674	14023	6752
675	14044	6731
676	14065	6710
677	14084	6689
678	14102	6667
679	14125	6647
680	14146	6626
681	14168	6606
682	14186	6584
683	14205	6562
684	14224	6541
685	14242	6519
686	14266	6500
687	14285	6478
688	14304	6456
689	14323	6435
690	14342	6413
691	14359	6391
692	14377	6369
693	14395	6347
694	14412	6324
695	14430	6303
696	14447	6280
697	14463	6257
698	14489	6239
699	14510	6218
700	14526	6196
701	14544	6174
702	14565	6153
703	14585	6132
704	14602	6110
705	14619	6088
706	14639	6066
707	14661	6046
708	14689	6029
709	14718	6011
710	14743	5992
711	14770	5974
712	14794	5955
713	14822	5937
714	14843	5916
715	14871	5898
716	14894	5879
717	14920	5860
718	14942	5839
719	14959	5817
720	14978	5796
721	14999	5775
722	15018	5754
723	15037	5732
724	15056	5711
725	15078	5690
726	15098	5669
727	15124	5650
728	15143	5629
729	15161	5607
730	15179	5585
731	15201	5565
732	15223	5545
733	15241	5523
734	15259	5501
735	15275	5479
736	15295	5458
737	15321	5439
738	15342	5418
739	15362	5397
740	15380	5375
741	15397	5354
742	15417	5332
743	15437	5311
744	15454	5289
745	15472	5268
746	15493	5247
747	15511	5225
748	15532	5205
749	15556	5185
750	15575	5164
751	15597	5143
752	15615	5122
753	15633	5100
754	15653	5079
755	15683	5061
756	15713	5043
757	15754	5029
758	15784	5012
759	15807	4991
760	15827	4970
761	15847	4949
762	15867	4928
763	15886	4907
764	15903	4885
765	15922	4863
766	15943	4843
767	15965	4823
768	15994	4804
769	16018	4784
770	16046	4766
771	16067	4745
772	16091	4725
773	16112	4704
774	16133	4683
775	16153	4662
776	16178	4643
777	16200	4622
778	16219	4601
779	16239	4580
780	16258	4559
781	16275	4537
782	16294	4515
783	16316	4495
784	16334	4473
785	16353	4452
786	16372	4431
787	16395	4410
788	16423	4392
789	16442	4370
790	16461	4349
791	16479	4327
792	16498	4306
793	16517	4285
794	16533	4263
795	16552	4242
796	16573	4221
797	16590	4199
798	16614	4179
799	16640	4160
800	16659	4138
801	16682	4118
802	16701	4097
803	16720	4076
804	16741	4055
805	16760	4034
806	16780	4013
807	16801	3992
808	16823	3971
809	16848	3952
810	16869	3931
811	16890	3910
812	16907	3888
813	16925	3867
814	16946	3846
815	16965	3825
816	16983	3804
817	17002	3782
818	17018	3761
819	17047	3742
820	17069	3721
821	17087	3700
822	17109	3679
823	17128	3658
824	17147	3637
825	17167	3616
826	17185	3595
827	17202	3573
828	17223	3552
829	17241	3531
830	17263	3510
831	17286	3490
832	17310	3470
833	17333	3450
834	17351	3428
835	17376	3408
836	17403	3389
837	17428	3369
838	17457	3350
839	17480	3329
840	17511	3310
841	17543	3291
842	17565	3271
843	17583	3250
844	17603	3228
845	17624	3208
846	17644	3187
847	17662	3165
848	17680	3144
849	17706	3124
850	17730	3104
851	17749	3083
852	17768	3062
853	17789	3041
854	17810	3020
855	17831	2999
856	17847	2978
857	17867	2957
858	17889	2936
859	17917	2916
860	17935	2895
861	17955	2874
862	17974	2853
863	17993	2832
864	18012	2811
865	18031	2790
866	18047	2768
867	18066	2747
868	18086	2726
869	18110	2706
870	18132	2685
871	18151	2664
872	18168	2643
873	18188	2622
874	18207	2601
875	18227	2580
876	18245	2558
877	18261	2537
878	18280	2516
879	18301	2495
880	18325	2475
881	18352	2455
882	18373	2434
883	18392	2413
884	18411	2392
885	18432	2371
886	18453	2350
887	18474	2330
888	18492	2308
889	18511	2287
890	18530	2266
891	18554	2246
892	18579	2226
893	18600	2205
894	18619	2184
895	18640	2163
896	18660	2142
897	18681	2121
898	18701	2101
899	18721	2080
900	18744	2059
901	18766	2038
902	18786	2017
903	18806	1997
904	18825	1976
905	18846	1955
906	18866	1934
907	18882	1913
908	18900	1892
909	18918	1871
910	18938	1850
911	18963	1829
912	18985	1809
913	19004	1788
914	19024	1767
915	19043	1746
916	19061	1725
917	19081	1704
918	19099	1683
919	19118	1662
920	19138	1641
921	19157	1620
922	19183	1600
923	19210	1580
924	19228	1559
925	19249	1538
926	19272	1517
927	19296	1497
928	19315	1476
929	19332	1455
930	19353	1434
931	19375	1413
932	19401	1393
933	19423	1372
934	19443	1351
935	19462	1330
936	19479	1309
937	19499	1288
938	19521	1268
939	19544	1247
940	19564	1226
941	19585	1205
942	19606	1185
943	19629	1164
944	19652	1143
945	19671	1122
946	19693	1102
947	19711	1081
948	19733	1060
949	19752	1039
950	19774	1018
951	19797	998
952	19820	977
953	19846	956
954	19868	936
955	19887	915
956	19905	894
957	19924	873
958	19945	852
959	19963	831
960	19982	810
961	20000	790
962	20017	769
963	20040	748
964	20066	727
965	20085	706
966	20105	686
967	20125	665
968	20144	644
969	20162	623
970	20182	602
971	20201	581
972	20220	561
973	20239	540
974	20267	519
975	20290	498
976	20310	478
977	20329	457
978	20347	436
979	20368	415
980	20387	394
981	20406	374
982	20429	353
983	20450	332
984	20490	312
985	20516	291
986	20534	270
987	20557	249
988	20581	228
989	20602	208
990	20621	187
991	20640	166
992	20657	145
993	20676	124
994	20697	104
995	20726	83
996	20749	62
997	20771	41
998	20793	20
999	20811	0
