iter	MultiClass
0	0.9730853589
1	0.8740659902
2	0.7956279079
3	0.7323222607
4	0.6773832862
5	0.631751941
6	0.5901118331
7	0.5539755132
8	0.5233772003
9	0.4960900547
10	0.4715076906
11	0.4508903525
12	0.4315649077
13	0.4159686413
14	0.401295217
15	0.3867505795
16	0.371339426
17	0.3579303512
18	0.3469083977
19	0.3346998732
20	0.324007504
21	0.3154908252
22	0.307179924
23	0.2983703866
24	0.2906972508
25	0.2848476202
26	0.2766227123
27	0.2698504519
28	0.2650119012
29	0.2596587051
30	0.2519461498
31	0.247846887
32	0.2438249089
33	0.2394583206
34	0.2358481937
35	0.2327075237
36	0.2290540932
37	0.2253850891
38	0.2208136314
39	0.2181041346
40	0.2155554811
41	0.2117425799
42	0.2096337211
43	0.2070869809
44	0.2044852442
45	0.2015885487
46	0.1994118184
47	0.1967403215
48	0.1933734602
49	0.1915752853
50	0.1888634926
51	0.1872762827
52	0.1845172115
53	0.1824804131
54	0.1802757129
55	0.1786212969
56	0.1772638296
57	0.1753361982
58	0.1731106568
59	0.1719793534
60	0.1700544058
61	0.1690282986
62	0.167316203
63	0.1663271072
64	0.164778372
65	0.1627276992
66	0.1614094784
67	0.1593537684
68	0.1585250696
69	0.157365694
70	0.1558035706
71	0.1544900599
72	0.1533055938
73	0.1518680677
74	0.1501940872
75	0.1494852386
76	0.1488291218
77	0.1478588595
78	0.1468009305
79	0.1459288347
80	0.1450748514
81	0.1439750194
82	0.1428521745
83	0.1420928698
84	0.1409988838
85	0.1400275003
86	0.1392126553
87	0.1382689036
88	0.1369576469
89	0.1357994278
90	0.1349640725
91	0.1341650191
92	0.1334741986
93	0.1325761645
94	0.1321051294
95	0.1313501513
96	0.1302304302
97	0.1296050124
98	0.1287752226
99	0.1279732199
100	0.127044107
101	0.1265239921
102	0.1262697396
103	0.1257353352
104	0.1247998386
105	0.1240397346
106	0.12352365
107	0.1229992874
108	0.1223415966
109	0.121771616
110	0.121359181
111	0.1210426639
112	0.1205675907
113	0.1201902265
114	0.1197647057
115	0.1191100582
116	0.1186751672
117	0.1181177457
118	0.11771628
119	0.1169907897
120	0.1162761548
121	0.1158317697
122	0.1151722417
123	0.1148269064
124	0.114224068
125	0.1137373185
126	0.1134038121
127	0.1126743757
128	0.1124519308
129	0.1120572758
130	0.1116213019
131	0.1111508467
132	0.1105464966
133	0.1102450558
134	0.1096723064
135	0.109087452
136	0.108645771
137	0.1080650543
138	0.1077184485
139	0.1073613438
140	0.1067658493
141	0.1062287575
142	0.1058041671
143	0.1054675767
144	0.10468811
145	0.1043599322
146	0.1040955036
147	0.1036004054
148	0.1032276925
149	0.1030047882
150	0.1026940779
151	0.1023634613
152	0.1020814508
153	0.101520356
154	0.1011853078
155	0.100985057
156	0.1008142329
157	0.1005249058
158	0.1002382748
159	0.09975606765
160	0.0992950707
161	0.09905968617
162	0.09879482841
163	0.09828518364
164	0.09814163218
165	0.09798455968
166	0.09768015219
167	0.09724721526
168	0.09700621904
169	0.09677076411
170	0.09644825641
171	0.09622969106
172	0.09593582727
173	0.09566359669
174	0.09537950102
175	0.09500948298
176	0.09480286631
177	0.09443006325
178	0.09429951558
179	0.09411313283
180	0.09390315384
181	0.09375865296
182	0.09356889959
183	0.0933350381
184	0.09300918987
185	0.09277502191
186	0.0923467727
187	0.09208364209
188	0.09185395671
189	0.09169644376
190	0.09148300829
191	0.09117055474
192	0.09097790496
193	0.0906894851
194	0.0905840004
195	0.09026480101
196	0.09012343461
197	0.08971706607
198	0.08947934055
199	0.08925926693
200	0.08906163242
201	0.08853638168
202	0.0884059415
203	0.0880958554
204	0.08790814924
205	0.08776586
206	0.08754332256
207	0.08738287348
208	0.0870834497
209	0.08689179745
210	0.08647141163
211	0.08629358384
212	0.08607139586
213	0.08580202857
214	0.08555804664
215	0.08530634534
216	0.08518508436
217	0.08495434323
218	0.08472074249
219	0.0845478197
220	0.08444967939
221	0.08423549244
222	0.08410946184
223	0.08389141604
224	0.08372889224
225	0.08351775816
226	0.08342534316
227	0.08326857079
228	0.08311489564
229	0.08280228993
230	0.08266734641
231	0.08239875538
232	0.08229498448
233	0.08215529023
234	0.08204071151
235	0.08192542273
236	0.08176691667
237	0.08136704366
238	0.08115393294
239	0.0810394315
240	0.08078168899
241	0.08068085252
242	0.08047859729
243	0.08033689122
244	0.08024297691
245	0.08015863135
246	0.07989072746
247	0.07978212021
248	0.07948688343
249	0.07942687514
250	0.07928398065
251	0.07900147548
252	0.07884980189
253	0.07862607449
254	0.0784972316
255	0.07840543466
256	0.07832770644
257	0.07822700976
258	0.0779305256
259	0.07783330552
260	0.07753996973
261	0.07741224184
262	0.07708977199
263	0.07690691495
264	0.07664712301
265	0.0765385009
266	0.07642675602
267	0.07633018108
268	0.07615726054
269	0.07601404448
270	0.07583478299
271	0.07575873819
272	0.07560224566
273	0.07555956825
274	0.07548459786
275	0.0753017351
276	0.0751561637
277	0.07478846184
278	0.07471649382
279	0.07459762442
280	0.07443436497
281	0.07416071818
282	0.07403690528
283	0.07391049684
284	0.07385615468
285	0.07374444833
286	0.07363756657
287	0.07354635987
288	0.07343032957
289	0.07335836576
290	0.07322119381
291	0.07308107346
292	0.07301910866
293	0.07288873061
294	0.07276388977
295	0.07269870534
296	0.07263100581
297	0.07250113604
298	0.072441675
299	0.07235642393
300	0.07219121477
301	0.07207868879
302	0.0719038313
303	0.07176918342
304	0.07171217347
305	0.07162841311
306	0.07152406941
307	0.07140241722
308	0.07137493288
309	0.07119205941
310	0.07094448277
311	0.07089841748
312	0.07082313204
313	0.07075123505
314	0.07064045793
315	0.07049703178
316	0.07043868864
317	0.0703169135
318	0.07024763083
319	0.07014442062
320	0.07011680834
321	0.06996144672
322	0.06990513304
323	0.0698556637
324	0.06978332611
325	0.06971573216
326	0.069578557
327	0.06954735182
328	0.06945811155
329	0.06942707696
330	0.06926432777
331	0.06915348446
332	0.06912807472
333	0.0689399925
334	0.06882140415
335	0.0687456768
336	0.06864368197
337	0.06855733212
338	0.06848576897
339	0.06842937407
340	0.06830891915
341	0.06823017753
342	0.06809321416
343	0.06802968633
